Council,Yes Percentage(%),"Education, Skills and Training domain 2012 rank1",Employment domain 2012 rank,Employment domain 2012 rate (%),Income domain 2012 rank,Income domain 2012 rate (%),"People aged 16-19 not in full time education, employment or training rate (School Leavers 2009/10-2010-11, DWP 2010 and 2011)"
Dundee,57,2635.374301676,2350.6759776536,17.9162011173,2470.4134078212,18.4301675978,12.7475558659
West Dunbartonshire,54,2589.7288135593,2138.4915254237,18.0169491525,2129.1271186441,19.1610169492,12.25
Glasgow,53,2057.9020172911,2066.3342939481,20.3616714697,1922.9308357349,22.053314121,12.6633645533
North Lanarkshire,51,2341.485645933,2306.7392344498,17.1435406699,2451.5909090909,17.4210526316,12.4530502392
Inverclyde,50,2868.3909090909,2152.5,19.2272727273,2373.8090909091,18.7636363636,10.8522727273
North Ayrshire,49,2869.3575418994,2429.2234636872,17.3407821229,2408.1508379888,18.217877095,12.2046089385
Eilean Siar,47,3838.7777777778,3403.3888888889,10.6388888889,3028.9166666667,12.6111111111,5.4739583333
East Ayrshire,47,2550.4025974026,2536.1298701299,16.3506493506,2557.6558441558,17.1883116883,11.7055600649
Highland,47,3413.1438356164,3754.595890411,10.3356164384,3686.3321917808,10.8047945205,8.3970462329
Renfrewshire,47,3349.023364486,2852.7897196262,15.738317757,3066.6355140187,15.3224299065,10.652453271
Clackmannanshire,46,3220.671875,2600.203125,16.046875,2757.203125,16.109375,12.1728515625
Falkirk,46,3131.7868020305,2943.2385786802,14.1218274112,3151.9187817259,13.7208121827,9.8759517766
Fife,45,3045.5717439294,3110.1766004415,13.5011037528,3168.53200883,13.8344370861,10.1145143488
South Lanarkshire,45,3113.2889447236,2923.3216080402,14.2386934673,3030.3391959799,14.3869346734,10.5623429648
West Lothian,45,3272.1990521327,3158.2843601896,12.9099526066,3182.1137440758,13.2938388626,9.9915580569
Angus,44,3662.9366197183,3642.0704225352,10.7183098592,3593.4507042254,11.3450704225,8.6487676056
Midlothian,44,3117.6696428571,3238.8035714286,12.2321428571,3308.7053571429,12.4464285714,10.9213169643
Moray,42,3721.0603448276,3965.1206896552,9.1810344828,3803.2068965517,9.9224137931,7.9202586207
South Ayrshire,42,3405.9727891157,3202.3673469388,13.2517006803,3247.9319727891,13.3945578231,10.1041666667
Aberdeen City,41,3535.2921348315,4174.6516853933,9.3183520599,4215.6217228464,9.2921348315,7.1335440075
Argyll & Bute,41,3824.7868852459,3608.3196721312,11.2131147541,3668.5573770492,11.2131147541,8.0261270492
Aberdeenshire,40,4137.9003322259,4815.438538206,6.7541528239,4699.9401993356,6.9568106312,5.0853405316
Perth & Kinross,40,3895.6057142857,4264.2285714286,8.6114285714,4156.8342857143,8.9714285714,7.1378571429
Stirling,40,3665.6181818182,3760.1909090909,10.9818181818,3863.7272727273,10.6545454545,7.515625
East Dunbartonshire,39,4906.0078740158,4444.6220472441,8.3700787402,4575.6377952756,7.8503937008,5.6205708661
Edinburgh,39,3852.6211293261,4173.2222222222,9.781420765,3990.2058287796,10.5555555556,8.0050375683
East Lothian,38,3778.5166666667,3623.4666666667,10.725,3649.275,11.0083333333,9.2184895833
East Renfrewshire,37,5427.5583333333,4503.9166666667,8.4166666667,4587.5916666667,7.9583333333,5.2963541667
Shetland Islands,36,4164.2666666667,4748.9,6.6333333333,4676.4,6.6666666667,5.36875
Dumfries & Galloway,34,3551.5906735751,3352.518134715,11.7512953368,3264.3316062176,12.6632124352,8.662888601
Orkney,33,3649.6296296296,4603.4814814815,7.0740740741,4421.8148148148,7.5925925926,6.1574074074
Scottish Borders,33,3664.5846153846,3795.5461538462,10,3692.5230769231,10.5846153846,8.5225961538
